srvy_yr;srvy_wve_nm;mode;network;geography;measures;rate;text_rate
2018;nov/18;Total network;Total network;Total network;CMPLNCE_RATE;94.8;94.80%
2018;nov/18;Total network;Total network;Total network;CMPLNCE_RATE_WKEND;94.55;94.55%
2018;nov/18;Total network;Total network;Total network;CMPLNCE_RATE_WKDY;94.85;94.85%
2018;nov/18;Total network;Total network;Total network;CMPLNCE_RATE_WKDY_AM_PEAK;95.64;95.64%
2018;nov/18;Total network;Total network;Total network;CMPLNCE_RATE_WKDY_PM_PEAK;94.87;94.87%
2018;nov/18;Total network;Total network;Total network;CMPLNCE_RATE_WKDY_OFF_PEAK;93.69;93.69%
2018;nov/18;Total network;Total network;Total network;NC_RATE_TTL;5.2;5.20%
2018;nov/18;Total network;Total network;Total network;NC_RATE_WKEND;5.45;5.45%
2018;nov/18;Total network;Total network;Total network;NC_RATE_WKDY;5.15;5.15%
2018;nov/18;Total network;Total network;Total network;NC_RATE_WKDY_AM_PEAK;4.36;4.36%
2018;nov/18;Total network;Total network;Total network;NC_RATE_WKDY_PM_PEAK;5.13;5.13%
2018;nov/18;Total network;Total network;Total network;NC_RATE_WKDY_OFF_PEAK;6.31;6.31%
2018;nov/18;Total network;Total network;Total network;NC_RATE_NO_TCKT_FREE;0.92;0.92%
2018;nov/18;Total network;Total network;Total network;NC_RATE_NO_TCKT_EVDD;3.06;3.06%
2018;nov/18;Total network;Total network;Total network;NC_RATE_NO_TCKT;3.99;3.99%
2018;nov/18;Total network;Total network;Total network;NC_RATE_CNCSSN_MISUSE;1.21;1.21%
2018;nov/18;Train;Train (Total);Train (Total);CMPLNCE_RATE;95.38;95.38%
2018;nov/18;Train;Train (Total);Train (Total);CMPLNCE_RATE_WKEND;94.58;94.58%
2018;nov/18;Train;Train (Total);Train (Total);CMPLNCE_RATE_WKDY;95.53;95.53%
2018;nov/18;Train;Train (Total);Train (Total);CMPLNCE_RATE_WKDY_AM_PEAK;96.02;96.02%
2018;nov/18;Train;Train (Total);Train (Total);CMPLNCE_RATE_WKDY_PM_PEAK;95.99;95.99%
2018;nov/18;Train;Train (Total);Train (Total);CMPLNCE_RATE_WKDY_OFF_PEAK;94.13;94.13%
2018;nov/18;Train;Train (Total);Train (Total);NC_RATE_TTL;4.62;4.62%
2018;nov/18;Train;Train (Total);Train (Total);NC_RATE_WKEND;5.42;5.42%
2018;nov/18;Train;Train (Total);Train (Total);NC_RATE_WKDY;4.47;4.47%
2018;nov/18;Train;Train (Total);Train (Total);NC_RATE_WKDY_AM_PEAK;3.98;3.98%
2018;nov/18;Train;Train (Total);Train (Total);NC_RATE_WKDY_PM_PEAK;4.01;4.01%
2018;nov/18;Train;Train (Total);Train (Total);NC_RATE_WKDY_OFF_PEAK;5.87;5.87%
2018;nov/18;Train;Train (Total);Train (Total);NC_RATE_NO_TCKT_FREE;0.8;0.80%
2018;nov/18;Train;Train (Total);Train (Total);NC_RATE_NO_TCKT_EVDD;2.72;2.72%
2018;nov/18;Train;Train (Total);Train (Total);NC_RATE_NO_TCKT;3.52;3.52%
2018;nov/18;Train;Train (Total);Train (Total);NC_RATE_CNCSSN_MISUSE;1.1;1.10%
2018;nov/18;Train;Sydney Trains;Sydney Trains (Total);CMPLNCE_RATE;95.56;95.56%
2018;nov/18;Train;Sydney Trains;Sydney Trains (Total);CMPLNCE_RATE_WKEND;94.92;94.92%
2018;nov/18;Train;Sydney Trains;Sydney Trains (Total);CMPLNCE_RATE_WKDY;95.69;95.69%
2018;nov/18;Train;Sydney Trains;Sydney Trains (Total);CMPLNCE_RATE_WKDY_AM_PEAK;96;96.00%
2018;nov/18;Train;Sydney Trains;Sydney Trains (Total);CMPLNCE_RATE_WKDY_PM_PEAK;96.07;96.07%
2018;nov/18;Train;Sydney Trains;Sydney Trains (Total);CMPLNCE_RATE_WKDY_OFF_PEAK;94.65;94.65%
2018;nov/18;Train;Sydney Trains;Sydney Trains (Total);NC_RATE_TTL;4.44;4.44%
2018;nov/18;Train;Sydney Trains;Sydney Trains (Total);NC_RATE_WKEND;5.08;5.08%
2018;nov/18;Train;Sydney Trains;Sydney Trains (Total);NC_RATE_WKDY;4.31;4.31%
2018;nov/18;Train;Sydney Trains;Sydney Trains (Total);NC_RATE_WKDY_AM_PEAK;4.0;4.00%
2018;nov/18;Train;Sydney Trains;Sydney Trains (Total);NC_RATE_WKDY_PM_PEAK;3.93;3.93%
2018;nov/18;Train;Sydney Trains;Sydney Trains (Total);NC_RATE_WKDY_OFF_PEAK;5.35;5.35%
2018;nov/18;Train;Sydney Trains;Sydney Trains (Total);NC_RATE_NO_TCKT_FREE;0.76;0.76%
2018;nov/18;Train;Sydney Trains;Sydney Trains (Total);NC_RATE_NO_TCKT_EVDD;2.57;2.57%
2018;nov/18;Train;Sydney Trains;Sydney Trains (Total);NC_RATE_NO_TCKT;3.33;3.33%
2018;nov/18;Train;Sydney Trains;Sydney Trains (Total);NC_RATE_CNCSSN_MISUSE;1.11;1.11%
2018;nov/18;Train;NSW TrainLink - Intercity;NSW TrainLink - Intercity (Total);CMPLNCE_RATE;93.7;93.70%
2018;nov/18;Train;NSW TrainLink - Intercity;NSW TrainLink - Intercity (Total);CMPLNCE_RATE_WKEND;91.43;91.43%
2018;nov/18;Train;NSW TrainLink - Intercity;NSW TrainLink - Intercity (Total);CMPLNCE_RATE_WKDY;94.12;94.12%
2018;nov/18;Train;NSW TrainLink - Intercity;NSW TrainLink - Intercity (Total);CMPLNCE_RATE_WKDY_AM_PEAK;96.15;96.15%
2018;nov/18;Train;NSW TrainLink - Intercity;NSW TrainLink - Intercity (Total);CMPLNCE_RATE_WKDY_PM_PEAK;95.17;95.17%
2018;nov/18;Train;NSW TrainLink - Intercity;NSW TrainLink - Intercity (Total);CMPLNCE_RATE_WKDY_OFF_PEAK;89.5;89.50%
2018;nov/18;Train;NSW TrainLink - Intercity;NSW TrainLink - Intercity (Total);NC_RATE_TTL;6.3;6.30%
2018;nov/18;Train;NSW TrainLink - Intercity;NSW TrainLink - Intercity (Total);NC_RATE_WKEND;8.57;8.57%
2018;nov/18;Train;NSW TrainLink - Intercity;NSW TrainLink - Intercity (Total);NC_RATE_WKDY;5.88;5.88%
2018;nov/18;Train;NSW TrainLink - Intercity;NSW TrainLink - Intercity (Total);NC_RATE_WKDY_AM_PEAK;3.85;3.85%
2018;nov/18;Train;NSW TrainLink - Intercity;NSW TrainLink - Intercity (Total);NC_RATE_WKDY_PM_PEAK;4.83;4.83%
2018;nov/18;Train;NSW TrainLink - Intercity;NSW TrainLink - Intercity (Total);NC_RATE_WKDY_OFF_PEAK;10.5;10.50%
2018;nov/18;Train;NSW TrainLink - Intercity;NSW TrainLink - Intercity (Total);NC_RATE_NO_TCKT_FREE;1.13;1.13%
2018;nov/18;Train;NSW TrainLink - Intercity;NSW TrainLink - Intercity (Total);NC_RATE_NO_TCKT_EVDD;4.12;4.12%
2018;nov/18;Train;NSW TrainLink - Intercity;NSW TrainLink - Intercity (Total);NC_RATE_NO_TCKT;5.25;5.25%
2018;nov/18;Train;NSW TrainLink - Intercity;NSW TrainLink - Intercity (Total);NC_RATE_CNCSSN_MISUSE;1.04;1.04%
2018;nov/18;Bus;Bus (Total);Bus (Total);CMPLNCE_RATE;94.03;94.03%
2018;nov/18;Bus;Bus (Total);Bus (Total);CMPLNCE_RATE_WKEND;94.72;94.72%
2018;nov/18;Bus;Bus (Total);Bus (Total);CMPLNCE_RATE_WKDY;93.9;93.90%
2018;nov/18;Bus;Bus (Total);Bus (Total);CMPLNCE_RATE_WKDY_AM_PEAK;95.1;95.10%
2018;nov/18;Bus;Bus (Total);Bus (Total);CMPLNCE_RATE_WKDY_PM_PEAK;93.25;93.25%
2018;nov/18;Bus;Bus (Total);Bus (Total);CMPLNCE_RATE_WKDY_OFF_PEAK;93.04;93.04%
2018;nov/18;Bus;Bus (Total);Bus (Total);NC_RATE_TTL;5.97;5.97%
2018;nov/18;Bus;Bus (Total);Bus (Total);NC_RATE_WKEND;5.28;5.28%
2018;nov/18;Bus;Bus (Total);Bus (Total);NC_RATE_WKDY;6.1;6.10%
2018;nov/18;Bus;Bus (Total);Bus (Total);NC_RATE_WKDY_AM_PEAK;4.9;4.90%
2018;nov/18;Bus;Bus (Total);Bus (Total);NC_RATE_WKDY_PM_PEAK;6.75;6.75%
2018;nov/18;Bus;Bus (Total);Bus (Total);NC_RATE_WKDY_OFF_PEAK;6.96;6.96%
2018;nov/18;Bus;Bus (Total);Bus (Total);NC_RATE_NO_TCKT_FREE;1.1;1.10%
2018;nov/18;Bus;Bus (Total);Bus (Total);NC_RATE_NO_TCKT_EVDD;3.5;3.50%
2018;nov/18;Bus;Bus (Total);Bus (Total);NC_RATE_NO_TCKT;4.6;4.60%
2018;nov/18;Bus;Bus (Total);Bus (Total);NC_RATE_CNCSSN_MISUSE;1.38;1.38%
2018;nov/18;Bus;Sydney Metropolitan Buses;Sydney Metro Bus (Total);CMPLNCE_RATE;94.24;94.24%
2018;nov/18;Bus;Sydney Metropolitan Buses;Sydney Metro Bus (Total);CMPLNCE_RATE_WKEND;94.77;94.77%
2018;nov/18;Bus;Sydney Metropolitan Buses;Sydney Metro Bus (Total);CMPLNCE_RATE_WKDY;94.14;94.14%
2018;nov/18;Bus;Sydney Metropolitan Buses;Sydney Metro Bus (Total);CMPLNCE_RATE_WKDY_AM_PEAK;95.48;95.48%
2018;nov/18;Bus;Sydney Metropolitan Buses;Sydney Metro Bus (Total);CMPLNCE_RATE_WKDY_PM_PEAK;93.47;93.47%
2018;nov/18;Bus;Sydney Metropolitan Buses;Sydney Metro Bus (Total);CMPLNCE_RATE_WKDY_OFF_PEAK;93.11;93.11%
